序号,线路,车次号,始发站时间
1,B1-9路-翠屏山至盐坪坝,1,06:02:00
2,B1-9路-翠屏山至盐坪坝,2,06:22:00
3,B1-9路-翠屏山至盐坪坝,3,06:42:00
4,B1-9路-翠屏山至盐坪坝,4,07:02:00
5,B1-9路-翠屏山至盐坪坝,5,07:22:00
6,B1-9路-翠屏山至盐坪坝,6,07:42:00
7,B1-9路-翠屏山至盐坪坝,7,08:02:00
8,B1-9路-翠屏山至盐坪坝,8,08:22:00
9,B1-9路-翠屏山至盐坪坝,9,08:42:00
10,B1-9路-翠屏山至盐坪坝,10,09:02:00
11,B1-9路-翠屏山至盐坪坝,11,09:22:00
12,B1-9路-翠屏山至盐坪坝,12,09:42:00
13,B1-9路-翠屏山至盐坪坝,13,10:07:00
14,B1-9路-翠屏山至盐坪坝,14,10:32:00
15,B1-9路-翠屏山至盐坪坝,15,10:57:00
16,B1-9路-翠屏山至盐坪坝,16,11:22:00
17,B1-9路-翠屏山至盐坪坝,17,11:47:00
18,B1-9路-翠屏山至盐坪坝,18,12:12:00
19,B1-9路-翠屏山至盐坪坝,19,12:37:00
20,B1-9路-翠屏山至盐坪坝,20,13:02:00
21,B1-9路-翠屏山至盐坪坝,21,13:27:00
22,B1-9路-翠屏山至盐坪坝,22,13:52:00
23,B1-9路-翠屏山至盐坪坝,23,14:17:00
24,B1-9路-翠屏山至盐坪坝,24,14:42:00
25,B1-9路-翠屏山至盐坪坝,25,15:07:00
26,B1-9路-翠屏山至盐坪坝,26,15:32:00
27,B1-9路-翠屏山至盐坪坝,27,15:57:00
28,B1-9路-翠屏山至盐坪坝,28,16:22:00
29,B1-9路-翠屏山至盐坪坝,29,16:32:00
30,B1-9路-翠屏山至盐坪坝,30,16:52:00
31,B1-9路-翠屏山至盐坪坝,31,17:12:00
32,B1-9路-翠屏山至盐坪坝,32,17:32:00
33,B1-9路-翠屏山至盐坪坝,33,17:52:00
34,B1-9路-翠屏山至盐坪坝,34,18:12:00
35,B1-9路-翠屏山至盐坪坝,35,18:32:00
36,B1-9路-翠屏山至盐坪坝,36,18:52:00
37,B1-9路-翠屏山至盐坪坝,37,19:12:00
38,B1-9路-翠屏山至盐坪坝,38,19:32:00
39,B1-9路-翠屏山至盐坪坝,39,19:52:00
40,B1-9路-翠屏山至盐坪坝,40,20:06:00
41,B1-9路-翠屏山至盐坪坝,41,20:31:00
