序号,线路,车次号,车站,车站编号,到站时间,发车时间
1,A1u-智轨T1主线-智轨产业园站至高铁西站,1,智轨产业园站,1, ,06:02:00
2,A1u-智轨T1主线-智轨产业园站至高铁西站,1,牌坊路站,2,06:06:00,06:06:30
3,A1u-智轨T1主线-智轨产业园站至高铁西站,1,西南交通大学站,3,06:12:00,06:12:30
4,A1u-智轨T1主线-智轨产业园站至高铁西站,1,紫金城站,4,06:21:00,06:21:30
5,A1u-智轨T1主线-智轨产业园站至高铁西站,1,长翠路站,5,06:26:00,06:26:30
6,A1u-智轨T1主线-智轨产业园站至高铁西站,1,二医院林港站,6,06:28:00,06:28:30
7,A1u-智轨T1主线-智轨产业园站至高铁西站,1,学堂路站,7,06:31:00,06:31:30
8,A1u-智轨T1主线-智轨产业园站至高铁西站,1,长江桥南站,8,06:34:00,06:34:30
9,A1u-智轨T1主线-智轨产业园站至高铁西站,1,酒都路站,9,06:36:00,06:36:30
10,A1u-智轨T1主线-智轨产业园站至高铁西站,1,新世纪广场站,10,06:38:00,06:38:30
11,A1u-智轨T1主线-智轨产业园站至高铁西站,1,时代广场站,11,06:41:00,06:41:30
12,A1u-智轨T1主线-智轨产业园站至高铁西站,1,大湾路站,12,06:43:00,06:43:30
13,A1u-智轨T1主线-智轨产业园站至高铁西站,1,天璇路站,13,06:45:00,06:45:30
14,A1u-智轨T1主线-智轨产业园站至高铁西站,1,高铁宜宾西站,14,06:47:00, 
15,A1u-智轨T1主线-智轨产业园站至高铁西站,2,智轨产业园站,1, ,06:12:00
16,A1u-智轨T1主线-智轨产业园站至高铁西站,2,牌坊路站,2,06:16:00,06:16:30
17,A1u-智轨T1主线-智轨产业园站至高铁西站,2,西南交通大学站,3,06:22:00,06:22:30
18,A1u-智轨T1主线-智轨产业园站至高铁西站,2,紫金城站,4,06:31:00,06:31:30
19,A1u-智轨T1主线-智轨产业园站至高铁西站,2,长翠路站,5,06:36:00,06:36:30
20,A1u-智轨T1主线-智轨产业园站至高铁西站,2,二医院林港站,6,06:38:00,06:38:30
21,A1u-智轨T1主线-智轨产业园站至高铁西站,2,学堂路站,7,06:41:00,06:41:30
22,A1u-智轨T1主线-智轨产业园站至高铁西站,2,长江桥南站,8,06:44:00,06:44:30
23,A1u-智轨T1主线-智轨产业园站至高铁西站,2,酒都路站,9,06:46:00,06:46:30
24,A1u-智轨T1主线-智轨产业园站至高铁西站,2,新世纪广场站,10,06:48:00,06:48:30
25,A1u-智轨T1主线-智轨产业园站至高铁西站,2,时代广场站,11,06:51:00,06:51:30
26,A1u-智轨T1主线-智轨产业园站至高铁西站,2,大湾路站,12,06:53:00,06:53:30
27,A1u-智轨T1主线-智轨产业园站至高铁西站,2,天璇路站,13,06:55:00,06:55:30
28,A1u-智轨T1主线-智轨产业园站至高铁西站,2,高铁宜宾西站,14,06:57:00, 
29,A1u-智轨T1主线-智轨产业园站至高铁西站,3,智轨产业园站,1, ,06:22:00
30,A1u-智轨T1主线-智轨产业园站至高铁西站,3,牌坊路站,2,06:26:00,06:26:30
31,A1u-智轨T1主线-智轨产业园站至高铁西站,3,西南交通大学站,3,06:32:00,06:32:30
32,A1u-智轨T1主线-智轨产业园站至高铁西站,3,紫金城站,4,06:41:00,06:41:30
33,A1u-智轨T1主线-智轨产业园站至高铁西站,3,长翠路站,5,06:46:00,06:46:30
34,A1u-智轨T1主线-智轨产业园站至高铁西站,3,二医院林港站,6,06:48:00,06:48:30
35,A1u-智轨T1主线-智轨产业园站至高铁西站,3,学堂路站,7,06:51:00,06:51:30
36,A1u-智轨T1主线-智轨产业园站至高铁西站,3,长江桥南站,8,06:54:00,06:54:30
37,A1u-智轨T1主线-智轨产业园站至高铁西站,3,酒都路站,9,06:56:00,06:56:30
38,A1u-智轨T1主线-智轨产业园站至高铁西站,3,新世纪广场站,10,06:58:00,06:58:30
39,A1u-智轨T1主线-智轨产业园站至高铁西站,3,时代广场站,11,07:01:00,07:01:30
40,A1u-智轨T1主线-智轨产业园站至高铁西站,3,大湾路站,12,07:03:00,07:03:30
41,A1u-智轨T1主线-智轨产业园站至高铁西站,3,天璇路站,13,07:05:00,07:05:30
42,A1u-智轨T1主线-智轨产业园站至高铁西站,3,高铁宜宾西站,14,07:07:00, 
43,A1u-智轨T1主线-智轨产业园站至高铁西站,4,智轨产业园站,1, ,06:32:00
44,A1u-智轨T1主线-智轨产业园站至高铁西站,4,牌坊路站,2,06:36:00,06:36:30
45,A1u-智轨T1主线-智轨产业园站至高铁西站,4,西南交通大学站,3,06:42:00,06:42:30
46,A1u-智轨T1主线-智轨产业园站至高铁西站,4,紫金城站,4,06:51:00,06:51:30
47,A1u-智轨T1主线-智轨产业园站至高铁西站,4,长翠路站,5,06:56:00,06:56:30
48,A1u-智轨T1主线-智轨产业园站至高铁西站,4,二医院林港站,6,06:58:00,06:58:30
